年,月,日,時,分,秒,事故類別, 縣市,市區鄉鎮,路線,公里,公尺,里程,分局,工務段,向,車道線(側)名稱, 24小時內死亡人數,2-30日內死亡人數,受傷,天候,道路照明設備(11207新增),道路類別,速限, 道路型態, 事故位置,路面狀況-路面鋪裝,路面狀況-路面狀態,路面狀況-路面缺陷,道路障礙-障礙物,道路障礙-視距,號誌-號誌種類,號誌-號誌動作,車道劃分設施-分向設施,車道劃分設施-分道設施-快車道或一般車道間,車道劃分設施-分道設施-快慢車道間,車道劃分設施-分道設施-路面邊線,事故類型及型態代碼,事故類型及型態2, 當事者順位,當事者屬(性)別, 當事者事故發生時年齡,受傷程度,保護裝備,行動電話、電腦或其他相類功能裝置名稱,當事者區分(大類別),當事者區分(類別),車輛用途,飲酒情形名稱,初步分析研判子類別-主要, 肇事逃逸(是否肇逃)
2023,1,1,08,40,00,A2,臺中市,霧峰區,國道3號,211,600,211.6,中分局,南投工務段,南側,路肩,0,0,2,雨,日間自然光線,國道,110,直路,快車道,柏油,濕潤,無缺陷,無障礙物,良好,無號誌,無號誌,寬式(50公分以上),車道線(附標記),未繪設快慢車道分隔線,有,20,撞護欄(樁),1,男,32,受傷,戴安全帽或繫安全帶(使用幼童安全椅),未使用,小貨車(含客、貨兩用),自用,其他,經檢測無酒精反應,其他引起事故之違規或不當行為,否
2023,1,1,03,57,00,A2,彰化縣,和美鎮,國道3號,195,400,195.4,中分局,大甲工務段,北側,路肩,0,0,2,雨,夜間(或隧道、地下道、涵洞)有照明,國道,110,直路,直路,快車道,濕潤,無缺陷,無障礙物,良好,無號誌,無號誌,寬式(50公分以上),車道線(附標記),未繪設快慢車道分隔線,有,20,撞護欄(樁),1,男,38,受傷,戴安全帽或繫安全帶(使用幼童安全椅),未使用,小客車,自用,其他,經呼氣檢測未超過0.15mg/L或血液檢測未超過0.03%,其他引起事故之違規或不當行為,否
2023,1,7,06,16,11,A2,臺中市,霧峰區,國道3號,209,600,209.6,中分局,南投工務段,南側,中線,0,0,1,晴,夜間(或隧道、地下道、涵洞)有照明,國道,110,直路,直路,快車道,乾燥,無缺陷,無障礙物,良好,無號誌,無號誌,寬式(50公分以上),車道線(附標記),未繪設快慢車道分隔線,有,13,追撞,1,男,35,未受傷,戴安全帽或繫安全帶(使用幼童安全椅),未使用,小客車,自用,其他,經呼氣檢測0.56~0.80mg/L或血液檢測0.111%~0.16%,酒醉(後)駕駛失控,否
2023,1,9,12,20,00,A2,彰化縣,彰化市,國道3號,202,0,202,中分局,南投工務段,北側,交流道,0,0,1,晴,日間自然光線,國道,40,直路,直路,直線匝道,乾燥,無缺陷,無障礙物,良好,無號誌,無號誌,無分向設施,車道線(附標記),未繪設快慢車道分隔線,有,20,撞護欄(樁),1,男,67,受傷,戴安全帽或繫安全帶(使用幼童安全椅),未使用,小客車,自用,其他,經檢測無酒精反應,其他引起事故之違規或不當行為,否
2023,1,20,07,53,00,A2,彰化縣,和美鎮,國道3號,194,100,194.1,中分局,大甲工務段,南側,外側,0,0,1,晴,日間自然光線,國道,110,直路,直路,快車道,乾燥,無缺陷,無障礙物,良好,無號誌,無號誌,寬式(50公分以上),車道線(附標記),未繪設快慢車道分隔線,有,13,追撞,1,男,34,未受傷,戴安全帽或繫安全帶(使用幼童安全椅),未使用,大貨車,自用,其他,經檢測無酒精反應,未保持行車安全距離,否
2023,1,25,14,09,00,A2,彰化縣,和美鎮,國道3號,194,500,194.5,中分局,大甲工務段,南側,外側,0,0,1,晴,日間自然光線,國道,110,直路,直路,快車道,乾燥,無缺陷,無障礙物,良好,無號誌,無號誌,寬式(50公分以上),車道線(附標記),未繪設快慢車道分隔線,有,13,追撞,1,女,27,未受傷,戴安全帽或繫安全帶(使用幼童安全椅),未使用,小客車,自用,其他,經檢測無酒精反應,未注意車前狀態,否
2023,1,16,10,34,00,A2,南投縣,國姓鄉,國道6號,20,100,20.1,中分局,南投工務段,東側,外側,0,0,1,晴,夜間(或隧道、地下道、涵洞)有照明,國道,100,隧道,快車道,柏油,乾燥,無缺陷,無障礙物,良好,無號誌,無號誌,無分向設施,禁止變換車道線(附標記),未繪設快慢車道分隔線,有,13,追撞,1,男,65,未受傷,戴安全帽或繫安全帶(使用幼童安全椅),未使用,小客車,自用,其他,經檢測無酒精反應,未保持行車安全距離,否
2023,1,20,05,10,00,A2,臺中市,霧峰區,國道6號,0,0,0,中分局,南投工務段,西側,外側,0,0,1,晴,晨或暮光,國道,60,直路,快車道,柏油,乾燥,無缺陷,無障礙物,良好,無號誌,無號誌,寬式(50公分以上),車道線(附標記),未繪設快慢車道分隔線,有,13,追撞,1,男,24,受傷,戴安全帽或繫安全帶(使用幼童安全椅),未使用,小客車,自用,其他,經檢測無酒精反應,未注意車前狀態,否
2023,1,26,19,50,00,A2,南投縣,國姓鄉,國道6號,17,600,17.6,中分局,南投工務段,東側,內側,0,0,1,晴,夜間(或隧道、地下道、涵洞)有照明,國道,100,直路,快車道,柏油,乾燥,無缺陷,無障礙物,良好,無號誌,無號誌,無分向設施,車道線(附標記),未繪設快慢車道分隔線,有,17,其他,1,肇事逃逸尚未查獲,-1,不明,不明,不明, , , , ,不明原因肇事,是
2023,1,23,08,13,09,A2,南投縣,草屯鎮,國道3號,223,500,223.5,中分局,南投工務段,南側,內側,0,0,1,晴,日間自然光線,國道,110,直路,快車道,柏油,乾燥,無缺陷,無障礙物,良好,無號誌,無號誌,寬式(50公分以上),車道線(附標記),未繪設快慢車道分隔線,有,13,追撞,1,男,46,未受傷,戴安全帽或繫安全帶(使用幼童安全椅),未使用,小客車,自用,其他,經檢測無酒精反應,未注意車前狀態,否
