年,月,日,時,分,秒,事故類別, 縣市,市區鄉鎮,路線,公里,公尺,里程,分局,工務段,向,車道線(側)名稱, 24小時內死亡人數,2-30日內死亡人數,受傷,天候,道路照明設備(11207新增),道路類別,速限, 道路型態, 事故位置,路面狀況-路面鋪裝,路面狀況-路面狀態,路面狀況-路面缺陷,道路障礙-障礙物,道路障礙-視距,號誌-號誌種類,號誌-號誌動作,車道劃分設施-分向設施,車道劃分設施-分道設施-快車道或一般車道間,車道劃分設施-分道設施-快慢車道間,車道劃分設施-分道設施-路面邊線,事故類型及型態代碼,事故類型及型態2, 當事者順位,當事者屬(性)別, 當事者事故發生時年齡,受傷程度,保護裝備,行動電話、電腦或其他相類功能裝置名稱,當事者區分(大類別),當事者區分(類別),車輛用途,飲酒情形名稱,初步分析研判子類別-主要, 肇事逃逸(是否肇逃)
2023.0,1.0,2.0,1.0,25.0,23.0,A2,宜蘭縣,蘇澳鎮,國道5號,48.0,700.0,48.7,北分局,頭城工務段,南側,內側,0.0,0.0,1.0,雨,夜間(或隧道、地下道、涵洞)有照明,國道,90.0,直路,快車道,柏油,濕潤,無缺陷,無障礙物,良好,無號誌,無號誌,寬式(50公分以上),車道線(附標記),未繪設快慢車道分隔線,有,20.0,撞護欄(樁),1.0,女,32.0,受傷,戴安全帽或繫安全帶(使用幼童安全椅),未使用,小客車,自用,其他,經檢測無酒精反應,其他引起事故之違規或不當行為,否
2023.0,1.0,24.0,17.0,8.0,0.0,A2,宜蘭縣,頭城鎮,國道5號,30.0,600.0,30.6,北分局,頭城工務段,北側,外側,0.0,0.0,1.0,陰,夜間(或隧道、地下道、涵洞)無照明,國道,90.0,直路,快車道,柏油,乾燥,無缺陷,無障礙物,良好,無號誌,無號誌,寬式(50公分以上),車道線(附標記),未繪設快慢車道分隔線,有,13.0,追撞,1.0,男,32.0,未受傷,戴安全帽或繫安全帶(使用幼童安全椅),未使用,小客車,自用,其他,經檢測無酒精反應,未注意車前狀態,否
2023.0,2.0,4.0,12.0,5.0,19.0,A2,宜蘭縣,礁溪鄉,國道5號,18.0,900.0,18.9,北分局,頭城工務段,南側,內側,0.0,0.0,2.0,晴,夜間(或隧道、地下道、涵洞)有照明,國道,90.0,隧道,快車道,柏油,乾燥,無缺陷,無障礙物,良好,行車管制號誌,正常,無分向設施,禁止變換車道線(附標記),未繪設快慢車道分隔線,有,13.0,追撞,1.0,女,71.0,受傷,戴安全帽或繫安全帶(使用幼童安全椅),未使用,小客車,自用,其他,經檢測無酒精反應,未保持行車安全距離,否
2023.0,2.0,11.0,18.0,44.0,20.0,A2,宜蘭縣,礁溪鄉,國道5號,32.0,0.0,32.0,北分局,頭城工務段,北側,內側,0.0,0.0,1.0,雨,夜間(或隧道、地下道、涵洞)無照明,國道,90.0,直路,快車道,柏油,濕潤,無缺陷,無障礙物,良好,無號誌,無號誌,寬式(50公分以上),車道線(附標記),未繪設快慢車道分隔線,有,13.0,追撞,1.0,男,49.0,受傷,戴安全帽或繫安全帶(使用幼童安全椅),未使用,小客車,自用,其他,經檢測無酒精反應,未注意車前狀態,否
2023.0,2.0,5.0,15.0,24.0,0.0,A2,臺北市,南港區,國道5號,0.0,0.0,0.0,北分局,頭城工務段,北側,交流道,0.0,0.0,2.0,晴,日間自然光線,國道,40.0,直路,直線匝道,柏油,乾燥,無缺陷,無障礙物,良好,無號誌,無號誌,無分向設施,車道線(附標記),未繪設快慢車道分隔線,有,13.0,追撞,1.0,男,23.0,受傷,戴安全帽或繫安全帶(使用幼童安全椅),未使用,小貨車(含客、貨兩用),自用,其他,經檢測無酒精反應,未保持行車安全距離,否
2023.0,2.0,8.0,6.0,8.0,0.0,A2,新北市,石碇區,國道5號,7.0,0.0,7.0,北分局,頭城工務段,南側,外側,0.0,0.0,2.0,雨,晨或暮光,國道,80.0,直路,快車道,柏油,濕潤,無缺陷,無障礙物,良好,無號誌,無號誌,寬式(50公分以上),車道線(附標記),未繪設快慢車道分隔線,有,13.0,追撞,1.0,男,47.0,受傷,未戴案全帽或未繫安全帶(未使用幼童安全椅),未使用,小貨車(含客、貨兩用),自用,其他,經檢測無酒精反應,未保持行車安全距離,否
2023.0,2.0,28.0,8.0,42.0,0.0,A2,臺北市,南港區,國道5號,0.0,0.0,0.0,北分局,頭城工務段,北側,交流道,0.0,0.0,2.0,晴,日間自然光線,國道,40.0,直路,直線匝道,柏油,乾燥,無缺陷,無障礙物,良好,無號誌,無號誌,無分向設施,車道線(附標記),未繪設快慢車道分隔線,有,13.0,追撞,1.0,男,40.0,未受傷,戴安全帽或繫安全帶(使用幼童安全椅),未使用,小貨車(含客、貨兩用),自用,其他,經檢測無酒精反應,未保持行車安全距離,否
2023.0,3.0,19.0,14.0,46.0,46.0,A2,宜蘭縣,羅東鎮,國道5號,45.0,700.0,45.7,北分局,頭城工務段,北側, ,0.0,0.0,2.0,陰,日間自然光線,國道,40.0,其他,其他,水泥,乾燥,無缺陷,無障礙物,良好,無號誌,無號誌,無分向設施,車道線(附標記),未繪設快慢車道分隔線,有,18.0,路上翻車、摔倒,1.0,男,30.0,受傷,戴安全帽或繫安全帶(使用幼童安全椅),未使用,機車,普通重型,其他,經檢測無酒精反應,其他引起事故之違規或不當行為,否
2023.0,3.0,24.0,23.0,44.0,0.0,A2,宜蘭縣,礁溪鄉,國道5號,25.0,500.0,25.5,北分局,頭城工務段,南側,內側,0.0,0.0,1.0,晴,夜間(或隧道、地下道、涵洞)有照明,國道,90.0,隧道,快車道,柏油,乾燥,無缺陷,無障礙物,良好,無號誌,無號誌,附標記,禁止變換車道線(附標記),未繪設快慢車道分隔線,有,20.0,撞護欄(樁),1.0,男,25.0,未受傷,戴安全帽或繫安全帶(使用幼童安全椅),未使用,小客車,自用,其他,經呼氣檢測0.56~0.80mg/L或血液檢測0.111%~0.16%,酒醉(後)駕駛失控,否
2023.0,3.0,9.0,21.0,37.0,0.0,A2,新北市,石碇區,國道5號,9.0,100.0,9.1,北分局,頭城工務段,南側,內側,0.0,0.0,2.0,晴,夜間(或隧道、地下道、涵洞)有照明,國道,80.0,直路,快車道,柏油,乾燥,無缺陷,道路工事(程)中,良好,無號誌,無號誌,寬式(50公分以上),車道線(附標記),未繪設快慢車道分隔線,有,13.0,追撞,1.0,男,37.0,受傷,戴安全帽或繫安全帶(使用幼童安全椅),未使用,小客車,自用,其他,經檢測無酒精反應,未注意車前狀態,否
