route_code,route_name
05F0001N -> 03F0150N,南港系統 -> 南港(3)
05F0001N -> 03F0201S,南港系統 -> 木柵(3)
03F0158S -> 05F0000S,木柵&南深路(3) -> 南港系統
03F0201N -> 05F0000S,南港(3) -> 南港系統
05F0055N -> 05F0001N,石碇 -> 南港系統
05F0287N -> 05F0055N,坪林 -> 石碇
05F0000S -> 05F0055S,南港系統 -> 石碇
05F0309N -> 05F0287N,頭城 -> 坪林
05F0055S -> 05F0287S,石碇 -> 坪林
05F0438N -> 05F0309N,宜蘭北 -> 頭城
05F0287S -> 05F0309S,坪林 -> 頭城
05F0528N -> 05F0438N,羅東 -> 宜蘭北
05F0309S -> 05F0439S,頭城 -> 宜蘭北
05FR113S -> 05F0439S,宜蘭南 -> 羅東
05F0439S -> 05F0494S,羅東 -> 蘇澳
05F0438N -> 05FR143N,羅東 -> 宜蘭南
